sample,run_accession,instrument_platform,fastq_1,fastq_2
3101199,3101199,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80455_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80455_R2.fastq.gz
3107391,3107391,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80482_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80482_R2.fastq.gz
3000139,3000139,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80498_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80498_R2.fastq.gz
3108770,3108770,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80387_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80387_R2.fastq.gz
3108761,3108761,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78579_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78579_R2.fastq.gz
3101298,3101298,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80527_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80527_R2.fastq.gz
3107547,3107547,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G69237_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G69237_R2.fastq.gz
3101295,3101295,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80621_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80621_R2.fastq.gz
3114356,3114356,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G69165_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G69165_R2.fastq.gz
3101244,3101244,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80533_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80533_R2.fastq.gz
3107506,3107506,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80133_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80133_R2.fastq.gz
3101062,3101062,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80123_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80123_R2.fastq.gz
3107507,3107507,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80097_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80097_R2.fastq.gz
3101063,3101063,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79035_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79035_R2.fastq.gz
3113100,3113100,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79055_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79055_R2.fastq.gz
3107505,3107505,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80143_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80143_R2.fastq.gz
3000106,3000106,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79042_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79042_R2.fastq.gz
3114386,3114386,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78969_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78969_R2.fastq.gz
3107508,3107508,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79006_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79006_R2.fastq.gz
3107510,3107510,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79005_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79005_R2.fastq.gz
3107526,3107526,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45104_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45104_R2.fastq.gz
3101336,3101336,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45105_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45105_R2.fastq.gz
3101338,3101338,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45106_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45106_R2.fastq.gz
3101335,3101335,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45107_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45107_R2.fastq.gz
3107527,3107527,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45108_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45108_R2.fastq.gz
3105620,3105620,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80580_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80580_R2.fastq.gz
3000095,3000095,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80506_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80506_R2.fastq.gz
3114523,3114523,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80149_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80149_R2.fastq.gz
3101408,3101408,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80139_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80139_R2.fastq.gz
3102537,3102537,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80163_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80163_R2.fastq.gz
3102538,3102538,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80115_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80115_R2.fastq.gz
3000085,3000085,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80141_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80141_R2.fastq.gz
3102539,3102539,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80109_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80109_R2.fastq.gz
3101412,3101412,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80118_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80118_R2.fastq.gz
3108736,3108736,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79062_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79062_R2.fastq.gz
3108737,3108737,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79063_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79063_R2.fastq.gz
3108733,3108733,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79060_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79060_R2.fastq.gz
3101410,3101410,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80086_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80086_R2.fastq.gz
3108738,3108738,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79061_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79061_R2.fastq.gz
3108734,3108734,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79064_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79064_R2.fastq.gz
3101436,3101436,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45231_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45231_R2.fastq.gz
3101439,3101439,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45265_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45265_R2.fastq.gz
3113065,3113065,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45267_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45267_R2.fastq.gz
3113068,3113068,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45268_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45268_R2.fastq.gz
3113996,3113996,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45269_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45269_R2.fastq.gz
3107651,3107651,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45270_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45270_R2.fastq.gz
3107649,3107649,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45271_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45271_R2.fastq.gz
3107471,3107471,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80548_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80548_R2.fastq.gz
3101475,3101475,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80554_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80554_R2.fastq.gz
3102544,3102544,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80475_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80475_R2.fastq.gz
3101478,3101478,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80561_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80561_R2.fastq.gz
3101454,3101454,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80102_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80102_R2.fastq.gz
3101457,3101457,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79043_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79043_R2.fastq.gz
3000058,3000058,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80082_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80082_R2.fastq.gz
3107802,3107802,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80132_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80132_R2.fastq.gz
3101455,3101455,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80094_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80094_R2.fastq.gz
3102569,3102569,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80074_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80074_R2.fastq.gz
3101453,3101453,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79044_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79044_R2.fastq.gz
3108758,3108758,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79020_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79020_R2.fastq.gz
3108752,3108752,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79019_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79019_R2.fastq.gz
3105663,3105663,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80108_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80108_R2.fastq.gz
3000064,3000064,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79040_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79040_R2.fastq.gz
3108798,3108798,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78921_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78921_R2.fastq.gz
3112091,3112091,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78952_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78952_R2.fastq.gz
3105612,3105612,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80574_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80574_R2.fastq.gz
3114796,3114796,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80331_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80331_R2.fastq.gz
3107840,3107840,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80469_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80469_R2.fastq.gz
3102582,3102582,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80483_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80483_R2.fastq.gz
3000044,3000044,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80522_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80522_R2.fastq.gz
3114799,3114799,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78826_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78826_R2.fastq.gz
3107837,3107837,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80477_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80477_R2.fastq.gz
3108516,3108516,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80332_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80332_R2.fastq.gz
3102577,3102577,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80092_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80092_R2.fastq.gz
3113323,3113323,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78923_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78923_R2.fastq.gz
3114844,3114844,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80073_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80073_R2.fastq.gz
3107873,3107873,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80084_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80084_R2.fastq.gz
3000054,3000054,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79039_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79039_R2.fastq.gz
3000052,3000052,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80514_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80514_R2.fastq.gz
3107815,3107815,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80485_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80485_R2.fastq.gz
3113179,3113179,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78580_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78580_R2.fastq.gz
3105808,3105808,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80077_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80077_R2.fastq.gz
3105812,3105812,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80085_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80085_R2.fastq.gz
3114794,3114794,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78958_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78958_R2.fastq.gz
3105811,3105811,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79070_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79070_R2.fastq.gz
3105810,3105810,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79067_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79067_R2.fastq.gz
3113278,3113278,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78922_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78922_R2.fastq.gz
3105790,3105790,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80562_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80562_R2.fastq.gz
3114826,3114826,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78827_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78827_R2.fastq.gz
3000007,3000007,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80137_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80137_R2.fastq.gz
3105841,3105841,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79065_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79065_R2.fastq.gz
3108837,3108837,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80146_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80146_R2.fastq.gz
3114741,3114741,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78957_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78957_R2.fastq.gz
3114860,3114860,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78972_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78972_R2.fastq.gz
3113346,3113346,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80159_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80159_R2.fastq.gz
3105828,3105828,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80119_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80119_R2.fastq.gz
3101014,3101014,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79037_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79037_R2.fastq.gz
3102687,3102687,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80078_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80078_R2.fastq.gz
3108875,3108875,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45099_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45099_R2.fastq.gz
3108874,3108874,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45100_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45100_R2.fastq.gz
3113669,3113669,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45101_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45101_R2.fastq.gz
3114784,3114784,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45102_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45102_R2.fastq.gz
3105829,3105829,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45103_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45103_R2.fastq.gz
3105747,3105747,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45088_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45088_R2.fastq.gz
3108098,3108098,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45089_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45089_R2.fastq.gz
3107883,3107883,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45090_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45090_R2.fastq.gz
3108107,3108107,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45091_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45091_R2.fastq.gz
3108363,3108363,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45092_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45092_R2.fastq.gz
3107859,3107859,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45093_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45093_R2.fastq.gz
3108096,3108096,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45094_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45094_R2.fastq.gz
3107861,3107861,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45095_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45095_R2.fastq.gz
3108105,3108105,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45096_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45096_R2.fastq.gz
3108103,3108103,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45097_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45097_R2.fastq.gz
3108100,3108100,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45098_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45098_R2.fastq.gz
3102732,3102732,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45064_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45064_R2.fastq.gz
3106013,3106013,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45065_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45065_R2.fastq.gz
3113933,3113933,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45066_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45066_R2.fastq.gz
3113936,3113936,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45067_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45067_R2.fastq.gz
3114810,3114810,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45068_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G45068_R2.fastq.gz
3101042,3101042,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79036_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G79036_R2.fastq.gz
3105915,3105915,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80103_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G80103_R2.fastq.gz
3111924,3111924,ILLUMINA,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78973_R1.fastq.gz,https://diabimmune.broadinstitute.org/diabimmune/data/20/G78973_R2.fastq.gz
